SOD,Num_Sat_Rcv, X, Y, Z, Receiver_Bias,GDOP
3661,13,6347500.08,-22943.4667,622826.579,-0.00978473946,2.30560807
3691,13,6347499.84,-22943.1739,622826.376,-0.123782297,2.30252292
3721,13,6347498.36,-22943.8045,622825.986,-1.07172003,2.29917167
3751,13,6347497.74,-22944.3565,622825.932,-1.57254295,2.29555963
3781,13,6347499.78,-22943.681,622826.541,-0.180526242,2.2916925
3811,13,6347499.65,-22943.5063,622826.534,-0.428400725,2.28757729
3841,13,6347498,-22943.4781,622826.13,-1.35830529,2.74509133
3871,13,6347499.6,-22943.6876,622826.245,-0.271196383,2.74225804
3901,13,6347500.11,-22943.9565,622826.405,0.123134807,2.73891154
3931,13,6347498.29,-22943.4459,622826.442,-1.27307404,2.73505984
3961,13,6347500.68,-22943.9466,622826.458,0.429938973,2.73071086
3991,13,6347499.8,-22943.4609,622826.501,-0.375606255,2.72587569
4021,13,6347498.83,-22943.1448,622826.266,-0.76058049,2.72056483
4051,13,6347499.5,-22943.3931,622826.428,-0.349911685,2.71478988
4081,13,6347499.89,-22943.4942,622826.296,0.0547209255,2.70856388
4111,13,6347498.77,-22943.142,622825.987,-0.653942316,2.70190055
4141,13,6347498.85,-22943.3027,622826.094,-0.856744707,2.69481373
4171,13,6347499.12,-22943.4826,622825.972,-0.841582632,2.6873185
4201,13,6347500.87,-22943.117,622826.385,0.447115802,2.67943009
4231,13,6347499.72,-22943.2045,622826.331,-0.292816887,2.82581181
4261,13,6347498.34,-22943.2683,622826.036,-1.10827417,2.82096894
4291,13,6347498.61,-22943.5867,622826.254,-0.962466226,2.81576007
4321,13,6347498.16,-22943.1983,622826.479,-1.35391661,2.8101982
4351,13,6347500.43,-22943.3505,622826.239,0.0616845231,2.80429584
4381,13,6347499.49,-22942.736,622826.697,-0.488374716,2.79806736
4411,13,6347499.05,-22943.2296,622826.456,-0.743038993,2.79152596
4441,13,6347499.65,-22943.2078,622826.63,-0.432337404,2.78468542
4471,13,6347499.38,-22943.2353,622826.458,-0.689779756,2.77756031
4501,13,6347498.92,-22942.8144,622825.958,-0.918862232,2.7701648
4531,13,6347500.76,-22943.6402,622826.704,0.436032158,2.76251299
4561,13,6347500.84,-22943.4614,622827.106,0.573055908,2.75461994
4591,13,6347499.78,-22943.4627,622826.406,-0.222064476,2.74650008
4621,13,6347500.22,-22943.3254,622826.558,0.154177363,2.7381674
4651,13,6347499.3,-22943.2633,622826.325,-0.192864544,2.72963673
4681,13,6347500.55,-22943.2282,622826.799,0.39234742,2.72092174
4711,13,6347499.5,-22943.3267,622826.428,-0.354618777,2.71203724
4741,13,6347498.86,-22943.5281,622825.811,-0.696983648,2.70299666
4771,13,6347500.52,-22943.3855,622826.354,0.304857825,2.69381333
4801,13,6347499.58,-22943.3933,622826.37,-0.346638812,2.68450149
4831,13,6347498.67,-22943.4685,622826.454,-1.10835554,2.67507385
4861,13,6347499.98,-22943.1048,622826.717,-0.172185652,2.66554284
4891,13,6347497.34,-22943.711,622825.873,-1.97501455,2.09779235
4921,13,6347497.63,-22944.1706,622825.336,-1.51753309,2.09863075
4951,13,6347497.03,-22944.1259,622825.582,-2.1727794,2.09941642
4981,13,6347497.36,-22943.5611,622825.677,-2.0156449,2.10015
5011,13,6347498.65,-22943.6369,622825.706,-1.33540975,2.10083237
5041,13,6347498.31,-22943.6594,622825.619,-1.44799534,2.10146473
5071,14,6347497.76,-22943.8189,622825.489,-1.63527872,2.10204788
5101,14,6347496.61,-22944.3332,622825.126,-2.54540541,2.10258286
5131,14,6347499.94,-22945.2603,622825.269,-0.00561600707,2.42242893
5161,14,6347499.42,-22944.8462,622825.395,-0.405876435,2.41912509
5191,14,6347499.76,-22945.1164,622825.517,-0.0827582793,2.41576352
5221,14,6347499.78,-22945.0008,622825.302,-0.0559738866,2.41234721
5251,14,6347500.56,-22945.8089,622825.525,0.140654386,2.40887889
5281,14,6347500.36,-22945.6551,622825.648,-0.0336225613,2.40536162
5311,14,6347498.45,-22945.1417,622825.046,-1.2474707,2.40179836
5341,14,6347499.74,-22945.2376,622825.234,-0.545287803,2.39819135
5371,14,6347499.53,-22945.5987,622825.332,-0.667421388,2.39454407
5401,14,6347499.72,-22945.9726,622825.009,-0.527975211,2.3908591
5431,14,6347499.65,-22946.4828,622825.205,-0.903736074,2.38713941
5461,14,6347499.91,-22946.164,622825.351,-0.464064688,2.38338775
5491,14,6347498.91,-22946.2599,622825.187,-1.21681767,2.37960715
5521,14,6347499.12,-22946.0214,622825.346,-1.36332999,2.37580009
5551,14,6347500.13,-22945.6898,622825.467,-0.651103586,2.37196943
5581,13,6347499.72,-22946.9212,622825.117,-0.576120568,2.36811823
5611,13,6347499.73,-22946.0135,622825.386,-0.654879824,2.36424897
5641,13,6347499.15,-22946.1193,622825.132,-1.35746485,2.36036453
5671,13,6347500.45,-22946.6146,622825.632,-0.639907626,2.35646727
5701,13,6347500.57,-22946.2167,622825.585,-0.596699915,2.35256022
5731,13,6347499.98,-22945.7172,622825.089,-1.13341736,2.34864595
5761,13,6347500.03,-22945.405,622825.213,-1.31235744,2.34472691
5791,13,6347499.79,-22945.9324,622825.297,-1.41478863,2.34080577
5821,13,6347500.05,-22946.4559,622825.49,-1.15402759,2.33688493
5851,13,6347501.99,-22945.7966,622826.129,0.169251935,2.3329667
5881,13,6347499.65,-22945.9776,622825.324,-1.41371451,2.32905431
5911,13,6347497.23,-22945.5273,622824.664,-3.22459856,2.6966674
5941,14,6347496.95,-22945.1732,622824.931,-3.17495089,2.69146075
5971,14,6347497.07,-22944.5431,622824.986,-3.31919446,2.68621203
6001,14,6347496.72,-22945.0646,622824.896,-3.48907377,2.68092545
6031,14,6347497.09,-22945.4708,622825.191,-3.40821619,2.67560492
6061,14,6347497.46,-22945.3771,622824.826,-2.37491113,2.67025454
6091,14,6347497.58,-22945.3539,622825.001,-2.24952707,2.66487836
6121,14,6347496.79,-22945.4557,622824.893,-2.65867778,2.65948039
6151,14,6347497.71,-22945.7763,622824.826,-1.98520277,2.65406411
6181,14,6347497.26,-22945.4979,622825.341,-2.13090233,2.64863385
6211,14,6347497.54,-22946.3464,622824.75,-2.00763544,2.64319301
6241,14,6347497.22,-22945.2064,622825.102,-2.35242227,2.63774556
6271,14,6347495.44,-22945.2571,622825.145,-3.46619036,2.63229526
6301,14,6347496.74,-22944.92,622825.073,-2.73330069,2.62684498
6331,14,6347496.05,-22945.1035,622825.108,-3.44541259,2.62139906
6361,13,6347496.54,-22945.1719,622825.537,-2.83608771,2.61596045
6391,13,6347495.81,-22944.966,622824.957,-3.11263806,2.61053288
6421,13,6347496.24,-22945.0774,622825.088,-2.8376628,2.60511934
6451,13,6347496.33,-22945.2192,622825.205,-2.57140941,2.59972329
6481,13,6347496.85,-22945.126,622825.277,-2.02181105,2.59434778
6511,13,6347495.88,-22945.2901,622824.755,-2.63431664,2.58899619
6541,13,6347497.78,-22945.2061,622825.545,-1.41323414,2.5836709
6571,13,6347496.95,-22945.248,622825.754,-1.86179862,2.5783757
6601,13,6347497.26,-22944.847,622825.572,-1.82730484,2.57311284
6631,13,6347496.59,-22945.2527,622825.704,-2.0387375,2.56788549
6661,13,6347496.54,-22945.4082,622825.147,-2.15584126,2.56269608
6691,13,6347495.64,-22945.0141,622824.934,-2.64663998,2.55754749
6721,13,6347494.85,-22944.9661,622825.001,-3.1194652,2.55244216
6751,13,6347495.32,-22945.1922,622825.109,-2.60109767,2.54738238
6781,13,6347496.74,-22945.1082,622825.163,-1.52075957,2.54237063
6811,13,6347498.61,-22944.2127,622825.376,-0.391455063,2.08323555
6841,13,6347498.69,-22945.1158,622825.23,0.00597671887,2.08153432
6871,13,6347498.27,-22944.7455,622825.269,-0.44754596,2.07981372
6901,13,6347498.04,-22944.5461,622824.839,-0.595094014,2.07807533
6931,13,6347499.12,-22945.1231,622825.155,0.362179193,2.07632073
6961,13,6347497.54,-22944.7403,622825.298,-0.785404413,2.07455203
6991,13,6347497.24,-22944.0358,622824.984,-0.785723814,2.07277046
7021,13,6347497.14,-22944.4399,622824.792,-0.644653644,2.07097778
7051,13,6347497.23,-22943.9733,622825.231,-0.866317435,2.06917564
7081,13,6347496.21,-22944.2686,622824.837,-1.65787406,2.06736579
7111,13,6347496.99,-22944.8476,622825.14,-0.881982506,2.06554953
7141,13,6347497.4,-22944.2738,622824.922,-0.779340306,2.0637287
7171,13,6347498.09,-22944.9194,622825.714,-0.0728115339,2.06190477
7201,13,6347496.63,-22944.9533,622824.98,-1.24407099,2.06007953
7231,13,6347497.48,-22945.0992,622825.112,-0.69532703,2.05825413
7261,13,6347495.76,-22945.2097,622824.624,-1.62863762,2.05643054
7291,13,6347495.12,-22944.6067,622824.386,-2.21115105,2.05460988
7321,13,6347496.9,-22945.1087,622824.448,-0.681452742,2.05279346
7351,13,6347496.16,-22945.1678,622824.169,-1.32452832,2.05098326
7381,13,6347495.72,-22945.1607,622824.773,-1.60621925,2.04918038
7411,13,6347495.74,-22945.7107,622824.204,-1.48957519,2.04738623
7441,13,6347497.33,-22945.7771,622824.56,-0.390065719,2.04560205
7471,13,6347496.14,-22945.458,622824.551,-1.22880379,2.04382964
7501,13,6347496.78,-22945.7073,622824.189,-0.523271119,2.04206984
7531,13,6347497.13,-22945.4894,622824.553,-0.424488503,2.04032416
7561,13,6347494.85,-22945.0053,622824.279,-2.31473116,2.03859412
7591,13,6347495.56,-22945.6232,622824.692,-1.74692657,2.03688035
7621,13,6347495.61,-22944.9812,622824.266,-1.50693742,2.03518447
7651,13,6347494.89,-22945.1275,622823.993,-2.13135852,2.03350766
7681,13,6347495.41,-22945.707,622824.504,-1.62202442,2.03185085
7711,13,6347495.77,-22945.2648,622824.166,-1.34257298,2.03021533
7741,12,6347496.11,-22946.1638,622824.682,-1.19236899,2.02860217
7771,12,6347497.05,-22945.0395,622824.62,-0.304918792,2.0270124
7801,12,6347496.5,-22945.5784,622824.439,-0.750414601,2.02544725
7831,12,6347495.83,-22945.9622,622824.125,-1.09518664,2.0239076
7861,12,6347495.21,-22945.2105,622824.009,-1.58672369,2.02239442
7891,12,6347495.71,-22945.895,622824.158,-1.03091863,2.02090852
7921,12,6347495.52,-22945.0195,622824.324,-1.09678832,2.01945105
7951,12,6347495.93,-22945.7067,622824.39,-0.808591948,2.01802274
7981,12,6347496.19,-22944.792,622824.56,-0.895911152,2.01662455
8011,12,6347495.49,-22945.3124,622824.998,-1.40781726,2.01525739
8041,12,6347496.28,-22945.4148,622824.442,-0.655585997,2.01392184
8071,12,6347495.01,-22945.1133,622824.256,-1.49746384,2.01261901
8101,12,6347494.87,-22945.1059,622824.503,-1.53068744,2.01134933
8131,12,6347495.7,-22945.8461,622824.367,-0.798264562,2.01011354
8161,12,6347496.64,-22945.1994,622824.697,-0.0833931051,2.00891241
8191,12,6347495.69,-22944.9065,622824.73,-1.01236813,2.00774683
8221,12,6347495.78,-22946.1508,622824.754,-0.551606241,2.00661712
8251,12,6347496.05,-22945.01,622824.392,-0.350386215,2.00552398
8281,12,6347495.85,-22945.426,622824.635,-0.628090299,2.00446803
8311,12,6347495.26,-22945.0969,622825.015,-0.990607874,2.00344984
8341,12,6347495.57,-22945.113,622824.687,-0.892618202,2.0024698
8371,12,6347495.66,-22944.8185,622824.287,-0.727687509,2.00152852
8401,12,6347496.34,-22944.5378,622824.418,-0.149892157,2.00062635
8431,12,6347496.53,-22944.832,622824.101,-0.0767809759,1.99976388
8461,12,6347497.01,-22944.5145,622824.272,0.122074999,1.99894142
8491,12,6347496.06,-22945.726,622824.455,-0.28204409,1.99815953
8521,12,6347496.39,-22945.1387,622824.476,-0.0472456524,1.99741831
8551,12,6347495.38,-22945.108,622824.234,-0.888751669,1.99671835
8581,12,6347495.83,-22944.6739,622824.07,-0.495925434,1.99605967
8611,12,6347496.09,-22944.3625,622824.371,-0.315686303,1.9954427
8641,12,6347495.99,-22945.2258,622824.869,-0.236545397,1.90912403
8671,12,6347496.4,-22944.4851,622824.399,0.00397156008,1.9102343
8701,12,6347495.99,-22944.5552,622824.568,-0.0311812121,1.91138136
8731,12,6347495.45,-22944.2303,622825.126,-0.590917334,1.912565
8761,12,6347495.82,-22944.9143,622824.293,-0.247955621,1.91378495
8791,12,6347496.44,-22944.8641,622824.54,0.117632541,1.915041
8821,12,6347496.46,-22945.0276,622824.152,0.0351228945,1.91633303
8851,12,6347495.92,-22945.1524,622824.198,-0.324340252,1.91766072
8881,12,6347495.04,-22944.3565,622824.353,-0.849373316,1.91902375
8911,12,6347496.06,-22944.688,622824.744,-0.192555541,1.92042157
8941,12,6347496.31,-22943.3232,622824.468,0.0339669086,1.73003993
8971,12,6347496.44,-22944.3523,622824.308,-0.0116991461,1.72881301
9001,12,6347496.29,-22944.1601,622825.15,0.116964104,1.87037241
9031,12,6347496.91,-22943.7927,622824.236,0.331242627,1.86858779
9061,12,6347496.52,-22944.2265,622824.447,0.0942923297,1.86682051
9091,12,6347496.04,-22943.0911,622824.8,-0.363212981,1.86507022
9121,12,6347497.47,-22943.3089,622824.411,0.783067258,1.86333637
9151,12,6347496.26,-22943.5991,622824.75,-0.316193651,1.86161902
9181,12,6347496.26,-22944.0158,622825.187,-0.0406947282,1.85991747
9211,12,6347496.64,-22943.876,622824.416,0.0721843053,1.85823149
9241,13,6347496.32,-22943.3002,622824.485,0.0481966675,1.85656077
9271,13,6347496.3,-22943.2971,622824.402,-0.0843028796,1.85490488
9301,13,6347496.5,-22943.1927,622824.606,-0.0607980347,1.85326346
9331,13,6347495.43,-22943.6561,622824.396,-0.693965569,1.85163629
9361,13,6347496.32,-22943.8478,622824.566,0.209077731,1.85002271
9391,13,6347496.01,-22943.5557,622824.145,-0.235005996,1.84842266
9421,13,6347497.19,-22944.0117,622824.791,0.742384724,1.8468355
9451,13,6347495.65,-22942.3382,622824.734,-0.416853273,1.84526132
9481,13,6347495.26,-22943.9827,622824.784,-0.581999612,1.84369933
9511,13,6347494.86,-22943.0678,622824.826,-0.865287216,1.84214935
9541,13,6347495.75,-22943.2776,622824.402,-0.161970692,1.84061086
9571,13,6347495.53,-22943.3046,622824.532,-0.400108978,1.83908375
9601,13,6347495.65,-22943.1336,622824.488,-0.315704716,1.83756754
9631,13,6347495.98,-22942.9328,622825.246,-0.283729238,1.83606188
9661,13,6347495.05,-22943.0456,622825.047,-0.839963978,1.83456661
9691,13,6347495.93,-22943.5729,622824.5,0.00754430229,1.83308109
9721,13,6347494.35,-22943.0109,622824.689,-1.10685959,1.83160538
9751,13,6347495.26,-22943.4049,622824.775,-0.400965255,1.83013871
9781,13,6347495.24,-22943.2432,622824.524,-0.470373318,1.82868109
9811,13,6347496.35,-22942.8852,622824.154,0.157851864,1.82723202
9841,13,6347496.36,-22944.0451,622824.714,0.277338229,1.82579137
9871,13,6347495.91,-22943.5209,622824.684,0.15997903,1.82435883
9901,13,6347494.59,-22943.6338,622824.862,-0.875582535,1.82293414
9931,13,6347495.85,-22943.3594,622823.971,0.0484786419,1.82151672
9961,13,6347495.15,-22943.4482,622824.837,-0.217907366,1.82010666
9991,13,6347495.98,-22943.4824,622824.539,0.214221237,1.81870344
10021,13,6347495.18,-22944.2698,622824.616,-0.278159857,1.81730706
10051,13,6347494.83,-22943.5876,622824.696,-0.584238936,1.81591711
10081,13,6347495.01,-22943.1021,622824.613,-0.440499214,1.81453333
10111,13,6347494.45,-22943.1421,622824.167,-0.982246238,1.81315562
10141,13,6347494.85,-22943.2966,622823.945,-0.741476539,1.8117836
10171,13,6347494.51,-22943.8305,622824.688,-0.706047188,1.8104172
10201,13,6347494.44,-22942.9836,622824.796,-0.802853124,1.80905617
10231,13,6347494.49,-22943.0235,622824.513,-0.71432594,1.80770032
10261,13,6347494.13,-22943.7077,622824.387,-0.783834192,1.80634952
10291,13,6347494.91,-22943.7361,622824.195,-0.281621139,1.80500346
10321,13,6347494.23,-22943.2937,622824.651,-0.826501223,1.80366221
10351,13,6347494.29,-22943.4437,622824.411,-0.563542742,1.80232545
10381,13,6347494.96,-22943.8517,622824.277,-0.134019,1.80099304
10411,13,6347495.73,-22943.3844,622824.178,0.513267851,1.64123296
10441,13,6347495.41,-22943.3953,622823.791,0.251210736,1.64095516
10471,13,6347495.12,-22943.7434,622823.995,0.184554259,1.64070344
10501,13,6347495.72,-22943.5155,622823.877,0.664625537,1.64047737
10531,13,6347494.83,-22943.3165,622823.957,-0.15172119,1.6402767
10561,13,6347495.58,-22943.1179,622824.166,0.387870121,1.64010078
10591,13,6347495.15,-22943.7913,622824.1,0.167508032,1.63994941
10621,13,6347495.69,-22943.622,622824.1,0.552465874,1.63982203
10651,13,6347494.76,-22943.4025,622823.917,-0.425537492,1.6397184
10681,13,6347494.95,-22943.2176,622823.652,-0.253279725,1.6396379
10711,13,6347494.97,-22943.5843,622823.411,-0.157003908,1.6395802
10741,13,6347495.36,-22943.4233,622823.976,0.244115492,1.63954483
10771,13,6347494.52,-22943.6295,622823.76,-0.460648932,1.6395315
10801,13,6347495.13,-22943.9106,622824.245,-0.0532095582,1.63953955
10831,11,6347495.49,-22944.3253,622823.71,0.16899745,2.08938047
10861,11,6347495.44,-22944.0602,622824.034,0.203762289,2.08900977
10891,12,6347495.5,-22944.138,622823.725,0.577525113,2.08861746
10921,11,6347494.43,-22943.4574,622823.743,-0.422669974,2.08820323
10951,12,6347495.67,-22944.563,622822.974,0.481291624,2.08776616
10981,12,6347495.81,-22943.7471,622823.443,0.777617267,2.0873063
11011,12,6347494.86,-22943.8755,622823.726,-0.0306883399,2.08682314
11041,11,6347495.6,-22944.1813,622823.792,0.506772244,2.08631599
11071,11,6347496.24,-22944.5684,622823.448,1.11460829,2.08578466
11101,11,6347494.61,-22944.2284,622823.554,-0.216152689,2.08522905
11131,11,6347495.8,-22943.7131,622823.414,0.557085678,2.08464822
11161,11,6347495.21,-22944.8726,622823.089,0.394923184,2.08404228
11191,11,6347495.02,-22944.3789,622823.066,0.215716969,2.08341079
11221,12,6347494.73,-22943.6648,622823.249,0.048337985,2.08275345
11251,12,6347495.5,-22944.1396,622823.169,0.777336764,2.08206982
11281,12,6347494.77,-22944.373,622823.113,0.0822448844,2.08135996
11311,12,6347493.69,-22944.2329,622823.696,-0.501878789,2.0806235
11341,12,6347494.08,-22943.8906,622823.749,-0.325108034,2.07986003
11371,12,6347495.01,-22944.2511,622823.798,0.365072967,2.07906941
11401,12,6347493.84,-22944.1587,622823.441,-0.506868485,2.0782518
11431,11,6347495.93,-22944.2608,622823.485,1.5460559,2.0774064
11461,11,6347494.57,-22944.0102,622823.391,0.781566656,2.07653386
11491,11,6347494.73,-22944.3838,622823.202,0.520000573,2.07563344
11521,11,6347494.81,-22944.2149,622823.146,0.813949498,2.07470527
11551,11,6347495.13,-22944.9733,622823.06,1.26255906,2.07374916
11581,11,6347494.14,-22944.6077,622823.077,0.433935185,2.07276531
11611,11,6347494.77,-22944.3325,622823.279,1.01948582,2.07175328
11641,11,6347494.02,-22943.5649,622823.695,0.598404443,2.0707134
11671,11,6347494.46,-22944.3647,622823.223,0.668920928,2.06964533
