SOD,Num_Sat_Rcv, X, Y, Z, Receiver_Bias,GDOP
2371,9,6347491.4825,-22945.018905,622823.66514,-16.204478738,2.4482754372
2401,9,6347494.6157,-22944.686018,622824.49519,-13.552827466,2.4620626137
2431,9,6347488.7311,-22942.296247,622821.93857,-17.308881933,2.4759760906
2461,9,6347489.8202,-22942.873292,622822.89528,-16.776587992,2.4900088135
2491,9,6347490.5611,-22945.350477,622822.74404,-16.999280709,2.5041566041
2521,9,6347488.7208,-22943.959843,622821.1042,-18.135986885,2.5184140756
2551,9,6347487.0667,-22943.110444,622822.27609,-19.392939595,2.5327746305
2581,9,6347491.2375,-22943.533239,622821.8432,-16.318752621,2.5472310729
2611,9,6347484.3128,-22944.074519,622820.61283,-21.460372342,2.561778556
2641,9,6347490.0751,-22943.287894,622822.68607,-16.60254399,2.5764062035
2671,9,6347486.9315,-22943.008307,622822.17166,-18.721397568,2.5911090382
2701,9,6347491.0821,-22943.892033,622822.1196,-16.218371666,2.6058761758
2731,9,6347491.9417,-22945.477119,622823.12869,-15.089596814,2.620699899
2761,9,6347489.6114,-22943.282155,622822.57165,-17.510200884,2.6355705671
2791,9,6347490.2203,-22943.025619,622823.48139,-16.340672329,2.6504770207
2821,9,6347486.5053,-22942.036736,622822.04414,-18.760112667,2.6654095598
2851,9,6347485.946,-22943.253921,622822.14123,-20.068703253,2.680355632
2881,9,6347488.1477,-22942.874837,622820.82958,-18.525239518,2.6953033446
2911,9,6347492.9526,-22943.422025,622823.3058,-14.929302838,2.7102399974
2941,9,6347489.564,-22944.072215,622823.70679,-17.09741857,2.7251541803
2971,9,6347484.5685,-22943.240029,622821.20107,-20.427737528,2.7400311981
3001,9,6347488.9475,-22943.00254,622823.46264,-17.523212827,2.754854845
3031,9,6347492.1599,-22943.401925,622823.36881,-15.13543047,2.7696119931
3061,9,6347487.0922,-22941.963697,622821.99706,-18.966870767,2.7842881724
3091,9,6347487.7149,-22942.000267,622822.55884,-19.094162305,2.7988651762
3121,9,6347489.0244,-22945.115339,622823.34224,-17.762939937,2.8133272728
3151,9,6347490.9568,-22943.391183,622823.82213,-16.26067542,2.827657276
3181,9,6347489.32,-22943.255376,622822.1901,-17.08143017,2.8418384448
3211,9,6347490.0962,-22943.402738,622821.02955,-16.65208584,2.8558517194
3241,9,6347491.1898,-22942.8021,622822.79447,-16.632830989,2.8696788803
3271,9,6347488.3663,-22943.766992,622822.24604,-17.589148945,2.8833020262
3301,9,6347489.4027,-22942.330568,622822.19587,-17.113205019,2.8967005898
3331,9,6347487.0992,-22943.466192,622821.99688,-18.956567069,2.9098564316
3361,9,6347490.5892,-22941.978638,622823.45898,-16.313781327,2.9227482376
